"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","testUpdateChurch_whenExists","testUpdateChurch_whenExists()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.mappers.ChildMapperUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.mappers.ChildMapperUnitTest","testConvertToDTO_withNullEntity_shouldReturnNull","testConvertToDTO_withNullEntity_shouldReturnNull()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","testDeleteGroup_success","testDeleteGroup_success()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","testDeleteChurch","testDeleteChurch()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","findTenantById_shouldReturnTenant","findTenantById_shouldReturnTenant()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","testConvertToEntity","testConvertToEntity()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChildServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChildServiceUnitTest","testDeleteChildMembership","testDeleteChildMembership()",""
"passed","Wed Oct 15 23:12:06 GMT 2025","Wed Oct 15 23:12:06 GMT 2025","19","","com.anastasia.Anastasia_BackEnd.UnitTests.repository.UserRepositoryUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.repository.UserRepositoryUnitTest","testFindUserUUIDsByChurchId","testFindUserUUIDsByChurchId()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","testRegisterPriest_throwsIfBothTenantAndChurchPresent","testRegisterPriest_throwsIfBothTenantAndChurchPresent()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","322","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","testHasGender","testHasGender()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","testHasMembershipNumber","testHasMembershipNumber()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","testExistsById","testExistsById()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","testGetGroupManagers_success","testGetGroupManagers_success()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.mappers.ChildMapperUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.mappers.ChildMapperUnitTest","testConvertToEntity_shouldMapCorrectly","testConvertToEntity_shouldMapCorrectly()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","6","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","testUpdateMembershipDetails","testUpdateMembershipDetails()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","unsubscribeTenant_shouldDeactivateTenant","unsubscribeTenant_shouldDeactivateTenant()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","testFindPriestById_found","testFindPriestById_found()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","testAgeBetween","testAgeBetween()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","testFindAll","testFindAll()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","testFindPriestById_notFound","testFindPriestById_notFound()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","testFindMemberById","testFindMemberById()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","testChangePassword_mismatchNewPasswords","testChangePassword_mismatchNewPasswords()",""
"passed","Wed Oct 15 23:12:03 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","321","","com.anastasia.Anastasia_BackEnd.AnastasiaBackEndApplicationTests","","com.anastasia.Anastasia_BackEnd.AnastasiaBackEndApplicationTests","contextLoads","contextLoads()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","testConvertToEntity","testConvertToEntity()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","testResendActivationEmail_ShouldThrowIfNotFound","testResendActivationEmail_ShouldThrowIfNotFound()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","testCreateChurch_whenTenantNotFound","testCreateChurch_whenTenantNotFound()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.MemberSpecificationTest","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.MemberSpecificationTest","testHasStatus","testHasStatus()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChildServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChildServiceUnitTest","testRegisterChild_throwsIfUserNotAuthenticated","testRegisterChild_throwsIfUserNotAuthenticated()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","21","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.MemberSpecificationTest","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.MemberSpecificationTest","testNameContains","testNameContains()",""
"passed","Wed Oct 15 23:11:43 GMT 2025","Wed Oct 15 23:11:48 GMT 2025","4626","","com.anastasia.Anastasia_BackEnd.api.tests.AuthTests","","com.anastasia.Anastasia_BackEnd.api.tests.AuthTests","shouldExtractTokenFromResponse","shouldExtractTokenFromResponse()","Verifies authentication token is extracted from login response."
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","97","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.AuthServiceUnitTest","testFindUserByEmail_ShouldReturnUser","testFindUserByEmail_ShouldReturnUser()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","4","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","testUpdateGroup_success","testUpdateGroup_success()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","testDeleteMembership","testDeleteMembership()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","testIsDeacon","testIsDeacon()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChurchServiceUnitTest","testUpdateChurch_whenNotFound","testUpdateChurch_whenNotFound()",""
